,Show,NAME,LAT,LONG,COUNTRY,geometry
263,no,Rusambo,32.17273992,-16.67660004,Zimbabwe,POINT (32.17273992 -16.67660004)
264,no,Rushinga,32.03323992,-16.62411996,Zimbabwe,POINT (32.03323992 -16.62411996)
265,yes,Rutenga,30.73574988,-21.25131003,Zimbabwe,POINT (30.73574988 -21.25131003)
266,no,Ruwa,31.22165016,-17.88251004,Zimbabwe,POINT (31.22165016 -17.88251004)
267,no,Sable Flat,30.56896008,-18.92827998,Zimbabwe,POINT (30.56896008 -18.92827998)
268,no,Sadza,31.27597992,-18.89624997,Zimbabwe,POINT (31.27597992 -18.89624997)
269,no,Sanyati,29.38236984,-17.94134997,Zimbabwe,POINT (29.38236984 -17.94134997)
270,no,Sanyatwe,32.59181016,-18.36894996,Zimbabwe,POINT (32.59181015999999 -18.36894996)
271,no,Seboza,29.12545008,-21.66749001,Zimbabwe,POINT (29.12545008 -21.66749001)
272,no,Selous,30.44990016,-18.07216002,Zimbabwe,POINT (30.44990016 -18.07216002)
273,no,Sengwe,31.11869016,-22.26714003,Zimbabwe,POINT (31.11869016 -22.26714003)
274,no,Shamva,31.54977,-17.31786003,Zimbabwe,POINT (31.54977 -17.31786003)
275,no,Shangani,29.36743992,-19.78053003,Zimbabwe,POINT (29.36743992 -19.78053003)
276,no,Sherwood,29.78268012,-18.75401001,Zimbabwe,POINT (29.78268012 -18.75401001)
277,no,Siabuwa,28.05311988,-17.46839997,Zimbabwe,POINT (28.05311988 -17.46839997)
278,no,Silobela,29.28056004,-18.97053003,Zimbabwe,POINT (29.28056004 -18.97053003)
279,no,Siwundula,29.96714016,-19.15947,Zimbabwe,POINT (29.96714016 -19.15947)
280,no,Skyline Junction,32.73680988,-19.88480997,Zimbabwe,POINT (32.73680988 -19.88480997)
281,no,Sola,32.35307004,-18.05535999,Zimbabwe,POINT (32.35307004 -18.05535999)
282,no,Somabula,29.66733,-19.69795998,Zimbabwe,POINT (29.66733 -19.69795998)
283,no,St. Alberts,31.30422984,-16.46415,Zimbabwe,POINT (31.30422984 -16.46415)
284,no,Stanley Clinico,27.57691008,-20.00593998,Zimbabwe,POINT (27.57691008 -20.00593998)
285,no,Stanmore,29.02822992,-20.66257998,Zimbabwe,POINT (29.02822992 -20.66257998)
286,no,Stapleford,32.80997016,-18.73924002,Zimbabwe,POINT (32.80997016 -18.73924002)
287,no,Surprise,29.95427016,-19.58495004,Zimbabwe,POINT (29.95427016 -19.58495004)
288,no,Suswe,32.39341992,-17.14716999,Zimbabwe,POINT (32.39341992 -17.14716999)
289,no,Tegwani Mission,27.75629016,-20.39479002,Zimbabwe,POINT (27.75629016 -20.39479002)
290,no,The Range,31.03112988,-19.01364003,Zimbabwe,POINT (31.03112988 -19.01364003)
291,no,Thomson Junction,26.44653996,-18.33820002,Zimbabwe,POINT (26.44653996 -18.33820002)
292,no,Towla,29.88797004,-21.43225998,Zimbabwe,POINT (29.88797004 -21.43225998)
293,no,Trelawney,30.45929004,-17.53559001,Zimbabwe,POINT (30.45929004 -17.53559001)
294,no,Triangle,31.44179016,-21.03166998,Zimbabwe,POINT (31.44179016 -21.03166998)
295,no,Troutbeck,32.81311008,-18.05911002,Zimbabwe,POINT (32.81311007999999 -18.05911002)
296,no,Tshiturapadsi,30.69030996,-22.17506004,Zimbabwe,POINT (30.69030996 -22.17506004)
297,no,Tsholotsho,27.75904992,-19.77713001,Zimbabwe,POINT (27.75904992 -19.77713001)
298,no,Tshotsholo,27.55887012,-18.71926002,Zimbabwe,POINT (27.55887012 -18.71926002)
299,no,Tsungwesi,32.19338016,-18.83970999,Zimbabwe,POINT (32.19338016 -18.83970999)
300,no,Tuli,29.19912012,-21.92168997,Zimbabwe,POINT (29.19912012 -21.92168997)
301,no,Twiza,31.56804,-21.81588003,Zimbabwe,POINT (31.56804 -21.81588003)
302,no,Uitkyk,32.26969008,-18.20251998,Zimbabwe,POINT (32.26969008 -18.20251998)
303,no,Umsweswe,29.81885004,-18.45280998,Zimbabwe,POINT (29.81885004 -18.45280998)
304,no,Vanguard Mine,29.89760004,-20.53141002,Zimbabwe,POINT (29.89760004 -20.53141002)
305,no,Vuti,29.46403008,-16.4772,Zimbabwe,POINT (29.46403008 -16.4772)
306,no,Waddilove,31.39603992,-18.24571998,Zimbabwe,POINT (31.39603992 -18.24571998)
307,no,Warmley,27.91832004,-21.29739003,Zimbabwe,POINT (27.91832004 -21.29739003)
308,no,Watsomba,32.63230008,-18.67725999,Zimbabwe,POINT (32.63230008 -18.67725999)
309,no,Welgetroos,31.05405,-18.42895998,Zimbabwe,POINT (31.05405 -18.42895998)
310,no,West Nicholson,29.36814984,-21.06694998,Zimbabwe,POINT (29.36814984 -21.06694998)
311,no,Westbeach,30.74175,-21.38158998,Zimbabwe,POINT (30.74175 -21.38158998)
312,no,Woodend,29.33750016,-19.55310003,Zimbabwe,POINT (29.33750016 -19.55310003)
313,no,Zaka,31.45573008,-20.34594999,Zimbabwe,POINT (31.45573008 -20.34594999)
314,no,Zamatobgwe,31.39396992,-18.84097998,Zimbabwe,POINT (31.39396992 -18.84097998)
315,no,Zanyika,31.81565988,-17.55059004,Zimbabwe,POINT (31.81565988 -17.55059004)
316,no,Zave,30.03531984,-17.21806002,Zimbabwe,POINT (30.03531984 -17.21806002)
317,no,Zemaiwa,29.24589996,-17.10160002,Zimbabwe,POINT (29.24589996 -17.10160002)
318,no,Zezani,29.49185016,-21.60438003,Zimbabwe,POINT (29.49185016 -21.60438003)
319,no,Zikamanas Village,27.93783996,-18.23154003,Zimbabwe,POINT (27.93783996 -18.23154003)
320,no,Zimbara,29.89857996,-17.65386999,Zimbabwe,POINT (29.89857996 -17.65386999)
321,no,Felixburg,30.89093004,-19.44534996,Zimbabwe,POINT (30.89093004 -19.44534996)
322,no,Mazoe,30.97353996,-17.50754997,Zimbabwe,POINT (30.97353996 -17.50754997)
323,no,Nyanga,32.71979988,-18.09845001,Zimbabwe,POINT (32.71979988 -18.09845001)
324,no,Triangle,31.44179016,-21.03166998,Zimbabwe,POINT (31.44179016 -21.03166998)
325,no,Alexandra Park,31.05,-17.80000002,Zimbabwe,POINT (31.05 -17.80000002)
326,no,Arcadia,31.05,-17.84999997,Zimbabwe,POINT (31.05 -17.84999997)
327,no,Arcadia South,31.06667016,-17.84999997,Zimbabwe,POINT (31.06667016 -17.84999997)
328,no,Arcadia West,31.06667016,-17.86667004,Zimbabwe,POINT (31.06667016 -17.86667004)
329,no,Ardbennie,31.01667012,-17.88333003,Zimbabwe,POINT (31.01667012 -17.88333003)
330,no,Avondale,31.03332984,-17.78333004,Zimbabwe,POINT (31.03332984 -17.78333004)
331,no,Avondale West,31.01667012,-17.78333004,Zimbabwe,POINT (31.01667012 -17.78333004)
332,no,Belgravia,31.05,-17.78333004,Zimbabwe,POINT (31.05 -17.78333004)
333,no,Bellevue,28.55000016,-20.19999996,Zimbabwe,POINT (28.55000016 -20.19999996)
334,no,Belmont,28.56666996,-20.16666999,Zimbabwe,POINT (28.56666996 -20.16666999)
335,no,Belvedere North,31.01667012,-17.81667,Zimbabwe,POINT (31.01667012 -17.81667)
336,no,Belvedere South,31.01667012,-17.83332999,Zimbabwe,POINT (31.01667012 -17.83332999)
337,no,Braeside,31.06667016,-17.84999997,Zimbabwe,POINT (31.06667016 -17.84999997)
338,no,Coronation Park,31.10000004,-17.83332999,Zimbabwe,POINT (31.10000004 -17.83332999)
339,no,Cranborne Park,31.08332988,-17.84999997,Zimbabwe,POINT (31.08332988 -17.84999997)
340,no,Eastlea North,31.06667016,-17.81667,Zimbabwe,POINT (31.06667016 -17.81667)
341,no,Eastlea South,31.08332988,-17.81667,Zimbabwe,POINT (31.08332988 -17.81667)
342,no,Emerald Hill,31.03332984,-17.76666996,Zimbabwe,POINT (31.03332984 -17.76666996)
343,no,Forest Vale,28.53333,-20.11667004,Zimbabwe,POINT (28.53333 -20.11667004)
344,no,Glenville,28.56666996,-20.09999997,Zimbabwe,POINT (28.56666996 -20.09999997)
345,no,Graniteside,31.05,-17.84999997,Zimbabwe,POINT (31.05 -17.84999997)
346,no,Gunhill,31.06667016,-17.78333004,Zimbabwe,POINT (31.06667016 -17.78333004)
347,yes,Harari,31.03332984,-17.86667004,Zimbabwe,POINT (31.03332984 -17.86667004)
348,no,Hatfield,31.08332988,-17.86667004,Zimbabwe,POINT (31.08332988 -17.86667004)
349,no,Hillside,31.08332988,-17.83332999,Zimbabwe,POINT (31.08332988 -17.83332999)
350,no,Kumalo,28.61667,-20.15000001,Zimbabwe,POINT (28.61667 -20.15000001)
351,no,Lobenvale,28.58333004,-20.09999997,Zimbabwe,POINT (28.58333004 -20.09999997)
352,no,Lochinvar,30.98333016,-17.86667004,Zimbabwe,POINT (30.98333016 -17.86667004)
353,no,Matsheumhlope,28.61667,-20.21667003,Zimbabwe,POINT (28.61667 -20.21667003)
354,no,Milton Park,31.03332984,-17.81667,Zimbabwe,POINT (31.03332984 -17.81667)
355,no,Mount Pleasant,31.05,-17.76666996,Zimbabwe,POINT (31.05 -17.76666996)
356,no,Mpopoma,28.53333,-20.15000001,Zimbabwe,POINT (28.53333 -20.15000001)
357,no,Newlands,31.08332988,-17.81667,Zimbabwe,POINT (31.08332988 -17.81667)
358,no,Newmansford,28.59999984,-20.09999997,Zimbabwe,POINT (28.59999984 -20.09999997)
359,no,North Lynne,28.59999984,-20.09999997,Zimbabwe,POINT (28.59999984 -20.09999997)
360,no,North Trenance Estate,28.56666996,-20.08332999,Zimbabwe,POINT (28.56666996 -20.08332999)
361,no,Orange Grove,28.61667,-20.09999997,Zimbabwe,POINT (28.61667 -20.09999997)
362,no,Parktown,31.01667012,-17.90000001,Zimbabwe,POINT (31.01667012 -17.90000001)
